# Кураторский список {account}<TAB>{name} для ninja /character API.
# Один билд на строку; # = комментарий. Разделитель: tab (или , | /).
# Расширяется из https://poe.ninja/poe1/builds/mirage через web-search индексацию character-страниц.
# Стратификация по классам/архетипам для ML-корпуса.

# === seed (автор) — Pathfinder ===
heygyus-0416	ResurrectSanest

# === web-search round 1 (2026-06-25) ===
Bristen_-6605	Brist_
juju-3413	jujuShockwaveTotem
Chromino-4813	Herald_of_the_shortworm
Mikle-3761	Misha
Gerrador-4355	Tíogairarís
DevilCATwith2CATs-1536	惡魔貓_藍色威爾史密斯四九四八
fubgun-1755	FubgunDSF

# === web-search round 2 (skills-фильтры, 2026-06-25) ===
fandemajia-2950	杨枝甘露小豹豹
ben22044789-7183	ShadowYing_Mirage
Tanjar-3439	TugSpunkson
Dezerik-2248	KingBoogaloo
phaquohun1-1993	Mirage_Hunnn
SamL-2807	神聖之森

# === playwright harvest 2026-06-25 16:54 (60 new) ===
0ctahedron-7787	utfgeneralci
1m_RainingMan-7642	Raima_NewHorizons
Argons1-7398	Alty_Sparkle
Asiangrandma-2957	ITBITMETHESNAKE
Camou-4965	camouu
Cothyris-5529	siadnavanisha
Demiourge-0885	Deymon_Mirage
DimonOne-5658	Dimonsta
DuffyHimself-6637	DuffyMirage
Esmunian-6422	Esmun
ForestBone-7582	LeftButtCheek_
JestaPoE-4283	Jesta
KimJongBigDong-5865	OneArmStrengthStack
Kustar-1978	Kustarr
KzLych-0448	Kzeee_BLAST
LOLIMICHIYO-0034	xxxQWERTYxxx
LRenascence-7362	Renascence_Mirage
Lacochone-2424	WhoSawItTwerking
Mariishka2-1208	Mirage_Mariishka
Mindsplosion-0680	PokyTrickster
Moekel00-3043	averyhungryFish
Moth_Ball-5611	ThereAreNoChainsOnMe
MugglyPOE-3993	MugglyZen
Psyeot-2044	BastisErzeuger
Raidzys-0904	Chickos
RangerDanger-0646	GameSharkUser
Reflex-4632	Reflex_HolyHunter
Ryrie-4226	Raise_Spectre_Enjoyer
Taigami-1795	Higami_Mirage
Telestico-1491	HeavyBob
Timo2606-6285	ScreamsOfSelfChill
Verra-1031	MarauderOfTheMirage
Vinnie-6265	Vinnie_Mirage
ZomBieKluay-1715	ตองที่สัว
anoanoa-0004	ㅫㅫㅫㅫ
b14d3r11-6069	FlaskOasis
big_stan_fack1-1270	BigStanFackm
blutailjungle-4710	Notgettingjebaitedagain
choco0-4773	BeachSlut
justin76_-6339	ButtersMirageOne
khangpro2411-0257	KHANG_
komachimagical-5810	BeagleCoconut
maventodie2-7047	ZenkyMirage
momojola-0969	没人要的野狗
namipoe-6767	NamiMirage
nunoka-2678	mrgmr
onikava-0869	TheMineIncident
retrogram-9326	VENOMSUCC
rotoroton-0840	rotorotonMirage
sampza2009-5317	llSllMirage
sandrilo_m1988-7170	ShlepShlepBaxBax
sioocp-0089	miragaaaaa
slandapoe-5094	兰达兰达
space_timee-4093	AntoxaTigde
ssaltong21-3386	일지뽑기
strugglebarsxxx-5216	BloodOnBeaverStreet
tank11171-0210	Jaculka_hehe
tash166-5074	fdsftwetwewet
youd1sappear3ddd-0392	パラサイト
沃弟怪怪-0374	就是头铁玩烙印

# === playwright harvest 2026-06-25 16:59 (1779 new) ===
01051564306-3355	화염짐승
0drixen-6309	Odrixen_GC
0tti-3746	MirageOtti
1024374270-4475	請大笑大王
1145141919810-2018	閃打閃打閃打閃打閃打
18800419532-0765	无人生还
1X5-1982	一乘五电打
1adybug_KANA-5048	筋肉花火マン
1max-7755	レオン・スコット・ケネディ
1qqqqpoe-3655	Ygolovka
1uohdh2-6687	TemptationSupport
2BRStarScream-6455	UnholyMightxQQQ
2CHZ-0574	CHZ_Citizen
3176889967-1614	dreamDeath
3ncrypted88-4459	AstrolabeEnjoyer
444831425-0342	moyuhooo
4U71SM-5792	GuguGagaPRIME
4oza-3261	wavan
4p0llyon-1185	LiverIsEvil_OrangeJuice
5hem-7525	Shem_Mirage
5koRn-3860	творожный_бизнес
5mashalot-4154	Triggeration
5nizza24-5783	GorillaDyadyaJi
666Krauzer666-2315	_Ozempik_power_
6eRv1n5-7557	Hi_ImMarkRobertZ
6r7r-5343	蜡笔小心眼子壹号
95Joker-6866	InsaneCatLord
9KOPbebanii-0651	auKO
9darkdragon9-7556	Testovichock
9v1d0-5671	Gvido_LingWater
A2rk4-8722	Mirage_XiaoMa
AAAhellXhere-6693	hellXhereMI
AAndersen-0119	toxiclikemorten
AENighthuntr-0237	WretchedD_Messiah
AHNG07-2718	MinersPOV
AKK_Death-4094	起个名字又要想
ALKEROX-2244	Iruha
ALSAITA-5163	ALSAITA
AM00sing-6208	RompsTinyWeen
AOHMSINXII-2552	AHNxMirage
AQmen-7415	Bidon_
AT_Sagor-1089	ПорочнаяКвашня
AWUKONING-4368	柯老闆
AWildMixtape-3373	plaedagaem
AZparty-6821	UndefinedObject
A_Kawaii_Potato-0394	Death_by_Potato
Ababarosos-2097	Babs_LostToBeltMTX
Abbaj-2877	Mirage_NecroJAPA
AbsentE12X-4511	SilentMirage
Adamolski-5388	CNLXUIBUDESH
Adhisia-4645	バリスタ伊藤
Adorawulf-3552	AdoraMirage
Aegmeima-0275	ZZtreze
Aejynz-6654	qck_SakaiSquad
Aereols-5020	Disability
Aesiir-4705	HamaCantMute_exmine
Aggressor_0_0-4731	MirageBigBOOM
AgroMorph-2931	AgroMorphiuss
Ahonen-1217	BuffedCopium
Ai_Avenger6-2315	MISTER_PUDGE
Aiurus-2985	Flomppin
AjBanana-3611	AjBananaShrine
AjsinV-4271	KuzynekJanuszek
AkumaS2-5806	LeonardoTkaprio
Akumy-1691	Akumy
AlabamaBoy-1599	SpeedyObosralez
AlacrityEnjoyer-3471	PigTurbo
Alamoz-4243	IHaveHarbingBalls
Alanio666-0667	MimisBow
Alaskimo-2679	AlaskimoXtremez
Alcocloud-1908	IronflaskIVdrip
Alderinxoxo-3911	Niredla
Alexuuuu-6128	Mirage_TOT_W
Aleyan-0125	WOCAOMINES
Alials-3882	NEGJUGG
Allakhh-7046	ペニスむち
Allmek-3421	Евгений_Пещерный
Amilslin-5220	PogromcaCyganuw
Amogususus-7764	zaloopers
Ancient_Destiny-5607	AncientMirageofDestiny
AndyIsBack-4161	AndyisMirage
Angelduke-6173	Angelduke_Mirage
Angelic_Layer-2326	粪海狂蛆
Angryspark-7984	Shadowraze
Anjunabeat13-1754	Luucinante
Antariell-1802	Kebab_Dealer
AntiFlash-2645	Rue_Sold_Me_Fentanyl
Anvesi-3249	VanGoud
Apongthecary-2535	AuraLovers
AqirPlayer-5380	BeYCBap
AquaMino-4953	임영웅
Arachnie-2064	Slover_
Aragos-7557	AhojJaSemCernyKocour
Arcalaust-3913	Shark_Backwards
Arcanive312-1715	Sllllaaaaayyyyyy
ArcticWP-5330	HolyWars_PunishmentDue
Aream-2352	AreamNetDeck
Ariadneee-7807	深夜特急
Arkadynn-3575	Graveyard_Slut
Arois2009-3876	Алистрата
ArtVandeley-0238	Shieldslamman
ArthurPendragon57-7682	Yenma_Mirage
ArturDeath-7800	ArtasDeathMirage
Arturion-3270	AbsolutionAbsolutely
ArtutAdo-1870	ArtutVIVARIUM
Arxalix-7521	ContagiousKohqs
Asalefot-6508	ShockNovaBaited
AshenSoul_-4097	Ash_Fromage
Atchey-2938	KiwiBott
Atumswag-5066	MiraKoto
Aughyssul-7681	Aughy_LongNeckBuffDudes
Aussiebloke1414-4446	Saitama_UwU
AvoidYourEyes-1708	MirageOfWardZaloop
Awbiee-5625	Awbie_Mirage
AwwYissBuDdi-4834	Carry_Maus
Axle_Plays-4554	IHAVESEENGODANDHEFLICKS
Ayrton994-3026	Dogton_Jackass
Azizian-1907	AzBoC
BATMAN13-4762	death_
BBaeme-2369	BBAEME_MIR
BER93-0958	BERSHA_MIR
BGTS-7088	StaMiLikIgra
BHwong-4653	Tamga
